source,title,company,location,city,state,lat,lon,date_posted,job_type,seniority,skills,skills_list,salary_min,salary_max,currency,url,description,sentiment
ACRA,Historic Preservation Specialist,Capitol Heritage Advisors,"Raleigh, NC",Raleigh,NC,35.7796,-78.6382,2025-10-05,architectural-historian,mid,Accessioning & Cataloging;Archaeological Data Recovery Plan;Historic Materials Conservation;MIDAS Heritage Standard;NEPA;Preventive Conservation;Section 106;Section 106 Regulations (36 CFR 800);Total Station Survey;UNESCO World Heritage Nomination Process,"[""Accessioning & Cataloging"", ""Archaeological Data Recovery Plan"", ""Historic Materials Conservation"", ""MIDAS Heritage Standard"", ""NEPA"", ""Preventive Conservation"", ""Section 106"", ""Section 106 Regulations (36 CFR 800)"", ""Total Station Survey"", ""UNESCO World Heritage Nomination Process""]",73150.0,83920.0,USD,https://example.com/demo/job/11,"Historic Preservation Specialist at Capitol Heritage Advisors. Key skills include Accessioning & Cataloging, Archaeological Data Recovery Plan, Historic Materials Conservation, MIDAS Heritage Standard, NEPA. This is synthetic demo data.",0.295
AAA,Field Technician,Great Lakes CRM,"Tucson, AZ",Tucson,AZ,32.2226,-110.9747,2026-01-13,field-tech,mid,Electrical Resistivity;Metal Conservation;NRHP Integrity Assessment;SOI Professional Qualifications;Site Management Plan,"[""Electrical Resistivity"", ""Metal Conservation"", ""NRHP Integrity Assessment"", ""SOI Professional Qualifications"", ""Site Management Plan""]",73711.0,90151.0,USD,https://example.com/demo/job/12,"Field Technician at Great Lakes CRM. Key skills include Electrical Resistivity, Metal Conservation, NRHP Integrity Assessment, SOI Professional Qualifications, Site Management Plan. This is synthetic demo data.",0.365
ACRA,Field Supervisor,High Plains Cultural Resources,"San Diego, CA",San Diego,CA,32.7157,-117.1611,2025-11-17,field-tech,entry,Cultural Landscape Management;Phase I Archaeological Survey;Residue/Use-Wear Analysis;Resource Condition Assessment;Wilderness First Aid,"[""Cultural Landscape Management"", ""Phase I Archaeological Survey"", ""Residue/Use-Wear Analysis"", ""Resource Condition Assessment"", ""Wilderness First Aid""]",43612.0,48108.0,USD,https://example.com/demo/job/13,"Field Supervisor at High Plains Cultural Resources. Key skills include Cultural Landscape Management, Phase I Archaeological Survey, Residue/Use-Wear Analysis, Resource Condition Assessment, Wilderness First Aid. This is synthetic demo data.",-0.026
ACRA,Senior Zooarchaeology Analyst,Sunbelt Heritage Solutions,"San Diego, CA",San Diego,CA,32.7157,-117.1611,2026-01-21,lab/analyst,lead/PI,Heritage Policy Analysis;NPS Preservation Briefs & Bulletins;Preventive Conservation;Radiocarbon Sampling/Interpretation;Transportation Resource Evaluation;Underwater/Maritime Survey,"[""Heritage Policy Analysis"", ""NPS Preservation Briefs & Bulletins"", ""Preventive Conservation"", ""Radiocarbon Sampling/Interpretation"", ""Transportation Resource Evaluation"", ""Underwater/Maritime Survey""]",90967.0,109023.0,USD,https://example.com/demo/job/14,"Senior Zooarchaeology Analyst at Sunbelt Heritage Solutions. Key skills include Heritage Policy Analysis, NPS Preservation Briefs & Bulletins, Preventive Conservation, Radiocarbon Sampling/Interpretation, Transportation Resource Evaluation. This is synthetic demo data.",-0.084
AAA,Zooarchaeology Analyst,Heritage Research Group,"San Antonio, TX",San Antonio,TX,29.4241,-98.4936,2026-01-06,lab/analyst,lead/PI,ArcGIS;Built Environment Survey;NAGPRA;Omeka S (Digital Exhibits),"[""ArcGIS"", ""Built Environment Survey"", ""NAGPRA"", ""Omeka S (Digital Exhibits)""]",108694.0,137555.0,USD,https://example.com/demo/job/15,"Zooarchaeology Analyst at Heritage Research Group. Key skills include ArcGIS, Built Environment Survey, NAGPRA, Omeka S (Digital Exhibits). This is synthetic demo data.",-0.092
ACRA,Field Technician,Cultural Resource Consultants,"Portland, OR",Portland,OR,45.5152,-122.6784,2025-12-30,field-tech,mid,FPIC (Free;Heritage Management Plan;LiDAR Processing;Local Preservation Ordinances;Preventive Conservation & Rehousing;Proposal/Scope Writing (RFP/RFQ);Radiocarbon Sampling/Interpretation;Section 106;Soil Micromorphology,"[""FPIC (Free"", ""Heritage Management Plan"", ""LiDAR Processing"", ""Local Preservation Ordinances"", ""Preventive Conservation & Rehousing"", ""Proposal/Scope Writing (RFP/RFQ)"", ""Radiocarbon Sampling/Interpretation"", ""Section 106"", ""Soil Micromorphology""]",61089.0,69211.0,USD,https://example.com/demo/job/16,"Field Technician at Cultural Resource Consultants. Key skills include FPIC (Free, Heritage Management Plan, LiDAR Processing, Local Preservation Ordinances, Preventive Conservation & Rehousing. This is synthetic demo data.",0.083
AAA,Field Technician,Western CRM Partners,"Washington, DC",Washington,DC,38.9072,-77.0369,2025-12-29,field-tech,mid,Crew Chief / Field Director;LiDAR Processing;Proposal/Scope Writing (RFP/RFQ);Section 106;Section 4(f) DOT Act;Viewshed and Setting Analysis;Wood Conservation,"[""Crew Chief / Field Director"", ""LiDAR Processing"", ""Proposal/Scope Writing (RFP/RFQ)"", ""Section 106"", ""Section 4(f) DOT Act"", ""Viewshed and Setting Analysis"", ""Wood Conservation""]",62821.0,74172.0,USD,https://example.com/demo/job/17,"Field Technician at Western CRM Partners. Key skills include Crew Chief / Field Director, LiDAR Processing, Proposal/Scope Writing (RFP/RFQ), Section 106, Section 4(f) DOT Act. This is synthetic demo data.",0.12
ACRA,Project Manager,ArchaeoLab Services,"Denver, CO",Denver,CO,39.7392,-104.9903,2025-11-10,pm/pi,entry,Cultural Sensitivity Training;Long-Term Resource Monitoring Plan;Mitigation Reporting & Closeout;Section 106,"[""Cultural Sensitivity Training"", ""Long-Term Resource Monitoring Plan"", ""Mitigation Reporting & Closeout"", ""Section 106""]",,,,https://example.com/demo/job/18,"Project Manager at ArchaeoLab Services. Key skills include Cultural Sensitivity Training, Long-Term Resource Monitoring Plan, Mitigation Reporting & Closeout, Section 106. This is synthetic demo data.",0.107
AAA,Crew Chief,Preservation Strategy Studio,"Raleigh, NC",Raleigh,NC,35.7796,-78.6382,2025-10-31,field-tech,senior,Accession Policy & Procedures;ArcGIS;Collections Metadata (Dublin Core/PREMIS),"[""Accession Policy & Procedures"", ""ArcGIS"", ""Collections Metadata (Dublin Core/PREMIS)""]",77093.0,91555.0,USD,https://example.com/demo/job/19,"Crew Chief at Preservation Strategy Studio. Key skills include Accession Policy & Procedures, ArcGIS, Collections Metadata (Dublin Core/PREMIS). This is synthetic demo data.",-0.057
ACRA,Senior Architectural Historian,GeoCultural Analytics,"Sacramento, CA",Sacramento,CA,38.5816,-121.4944,2025-12-15,architectural-historian,lead/PI,Collections Management Policy;Digitization & Georeferencing;NAGPRA;NEPA;Paleoethnobotany/Archaeobotany;SQL;Structure-from-Motion Photogrammetry,"[""Collections Management Policy"", ""Digitization & Georeferencing"", ""NAGPRA"", ""NEPA"", ""Paleoethnobotany/Archaeobotany"", ""SQL"", ""Structure-from-Motion Photogrammetry""]",118956.0,152033.0,USD,https://example.com/demo/job/20,"Senior Architectural Historian at GeoCultural Analytics. Key skills include Collections Management Policy, Digitization & Georeferencing, NAGPRA, NEPA, Paleoethnobotany/Archaeobotany. This is synthetic demo data.",-0.122
AAA,Cultural Resources Planner,Regional Heritage Associates,"Salt Lake City, UT",Salt Lake City,UT,40.7608,-111.891,2026-01-26,architectural-historian,entry,Collections Loan Management;DOIs/PIDs for Heritage Assets;Data Management Plan (FAIR);Digital Preservation (OAIS/BagIt);GDAL/OGR;NEPA;Obsidian Sourcing/XRF;Section 106;Shovel Test Pits (STPs),"[""Collections Loan Management"", ""DOIs/PIDs for Heritage Assets"", ""Data Management Plan (FAIR)"", ""Digital Preservation (OAIS/BagIt)"", ""GDAL/OGR"", ""NEPA"", ""Obsidian Sourcing/XRF"", ""Section 106"", ""Shovel Test Pits (STPs)""]",43684.0,50581.0,USD,https://example.com/demo/job/21,"Cultural Resources Planner at Regional Heritage Associates. Key skills include Collections Loan Management, DOIs/PIDs for Heritage Assets, Data Management Plan (FAIR), Digital Preservation (OAIS/BagIt), GDAL/OGR. This is synthetic demo data.",0.482
AAA,Collections Specialist,Frontier Cultural Resources,"Salt Lake City, UT",Salt Lake City,UT,40.7608,-111.891,2025-10-18,lab/analyst,mid,Adobe InDesign (Reports);Collections Conservation Planning;Ethnographic Research Methods;Phase I Archaeological Survey;SOI Professional Qualifications;Structure-from-Motion Photogrammetry,"[""Adobe InDesign (Reports)"", ""Collections Conservation Planning"", ""Ethnographic Research Methods"", ""Phase I Archaeological Survey"", ""SOI Professional Qualifications"", ""Structure-from-Motion Photogrammetry""]",63742.0,73350.0,USD,https://example.com/demo/job/22,"Collections Specialist at Frontier Cultural Resources. Key skills include Adobe InDesign (Reports), Collections Conservation Planning, Ethnographic Research Methods, Phase I Archaeological Survey, SOI Professional Qualifications. This is synthetic demo data.",0.411
AAA,Zooarchaeology Analyst,Sagebrush Archaeology,"San Antonio, TX",San Antonio,TX,29.4241,-98.4936,2025-12-09,lab/analyst,mid,Collections Conservation Planning;GDAL/OGR;Historic Materials Conservation;Historic Paint Analysis;NEPA;Section 106;Section 4(f) DOT Act,"[""Collections Conservation Planning"", ""GDAL/OGR"", ""Historic Materials Conservation"", ""Historic Paint Analysis"", ""NEPA"", ""Section 106"", ""Section 4(f) DOT Act""]",57274.0,68847.0,USD,https://example.com/demo/job/23,"Zooarchaeology Analyst at Sagebrush Archaeology. Key skills include Collections Conservation Planning, GDAL/OGR, Historic Materials Conservation, Historic Paint Analysis, NEPA. This is synthetic demo data.",0.276
ACRA,Field Technician,Bay Area Preservation,"Raleigh, NC",Raleigh,NC,35.7796,-78.6382,2025-12-09,field-tech,senior,ArcGIS;Ethnographic Research Methods;Lithic Analysis;NEPA;Project Management;Stakeholder Mapping,"[""ArcGIS"", ""Ethnographic Research Methods"", ""Lithic Analysis"", ""NEPA"", ""Project Management"", ""Stakeholder Mapping""]",97769.0,112908.0,USD,https://example.com/demo/job/24,"Field Technician at Bay Area Preservation. Key skills include ArcGIS, Ethnographic Research Methods, Lithic Analysis, NEPA, Project Management. This is synthetic demo data.",0.07
AAA,Architectural Historian,Capitol Heritage Advisors,"Washington, DC",Washington,DC,38.9072,-77.0369,2025-12-23,architectural-historian,mid,Adobe InDesign (Reports);Adobe Photoshop;Climate Adaptation for Heritage;Cultural Sensitivity Training;NAGPRA;OSHA HAZWOPER 40-hour;Site Recording & Forms;Viewshed and Setting Analysis,"[""Adobe InDesign (Reports)"", ""Adobe Photoshop"", ""Climate Adaptation for Heritage"", ""Cultural Sensitivity Training"", ""NAGPRA"", ""OSHA HAZWOPER 40-hour"", ""Site Recording & Forms"", ""Viewshed and Setting Analysis""]",57292.0,75174.0,USD,https://example.com/demo/job/25,"Architectural Historian at Capitol Heritage Advisors. Key skills include Adobe InDesign (Reports), Adobe Photoshop, Climate Adaptation for Heritage, Cultural Sensitivity Training, NAGPRA. This is synthetic demo data.",0.264
AAA,Senior Cultural Resources Planner,Great Lakes CRM,"Albuquerque, NM",Albuquerque,NM,35.0844,-106.6504,2025-12-16,architectural-historian,senior,Archaeological Monitoring;Collections Loan Management;Esri Survey123;Heritage Risk Assessment;Phase III Data Recovery;Venice Charter Principles,"[""Archaeological Monitoring"", ""Collections Loan Management"", ""Esri Survey123"", ""Heritage Risk Assessment"", ""Phase III Data Recovery"", ""Venice Charter Principles""]",,,,https://example.com/demo/job/26,"Senior Cultural Resources Planner at Great Lakes CRM. Key skills include Archaeological Monitoring, Collections Loan Management, Esri Survey123, Heritage Risk Assessment, Phase III Data Recovery. This is synthetic demo data.",0.084
AAA,Senior Architectural Historian,High Plains Cultural Resources,"Phoenix, AZ",Phoenix,AZ,33.4484,-112.074,2025-11-10,architectural-historian,senior,California Environmental Quality Act;Cultural Landscape Management;Mitigation Reporting & Closeout;PostGIS;SOI Professional Standards;Section 110 (NHPA);Underwater/Maritime Survey,"[""California Environmental Quality Act"", ""Cultural Landscape Management"", ""Mitigation Reporting & Closeout"", ""PostGIS"", ""SOI Professional Standards"", ""Section 110 (NHPA)"", ""Underwater/Maritime Survey""]",96115.0,108895.0,USD,https://example.com/demo/job/27,"Senior Architectural Historian at High Plains Cultural Resources. Key skills include California Environmental Quality Act, Cultural Landscape Management, Mitigation Reporting & Closeout, PostGIS, SOI Professional Standards. This is synthetic demo data.",-0.135
AAA,Senior Collections Specialist,Sunbelt Heritage Solutions,"Los Angeles, CA",Los Angeles,CA,34.0522,-118.2437,2025-10-29,lab/analyst,senior,Collections Curation (36 CFR 79);Design Review for Historic Properties;NEPA;Plaster Conservation,"[""Collections Curation (36 CFR 79)"", ""Design Review for Historic Properties"", ""NEPA"", ""Plaster Conservation""]",85580.0,110098.0,USD,https://example.com/demo/job/28,"Senior Collections Specialist at Sunbelt Heritage Solutions. Key skills include Collections Curation (36 CFR 79), Design Review for Historic Properties, NEPA, Plaster Conservation. This is synthetic demo data.",0.146
AAA,Field Technician,Heritage Research Group,"Los Angeles, CA",Los Angeles,CA,34.0522,-118.2437,2025-12-03,field-tech,mid,Conservation Plan;Emergency Stabilization (Historic Fabric);Ethnographic Research Methods;Heritage Risk Assessment;Radiocarbon Sampling/Interpretation;UNESCO World Heritage Nomination Process,"[""Conservation Plan"", ""Emergency Stabilization (Historic Fabric)"", ""Ethnographic Research Methods"", ""Heritage Risk Assessment"", ""Radiocarbon Sampling/Interpretation"", ""UNESCO World Heritage Nomination Process""]",,,,https://example.com/demo/job/29,"Field Technician at Heritage Research Group. Key skills include Conservation Plan, Emergency Stabilization (Historic Fabric), Ethnographic Research Methods, Heritage Risk Assessment, Radiocarbon Sampling/Interpretation. This is synthetic demo data.",0.465
AAA,Principal Investigator,Cultural Resource Consultants,"Austin, TX",Austin,TX,30.2672,-97.7431,2026-01-04,pm/pi,lead/PI,Archaeological Data Recovery Plan;Digitization & Georeferencing;FileMaker Pro;NRHP Evaluation Criteria;Preventive Conservation;Wood Conservation,"[""Archaeological Data Recovery Plan"", ""Digitization & Georeferencing"", ""FileMaker Pro"", ""NRHP Evaluation Criteria"", ""Preventive Conservation"", ""Wood Conservation""]",105679.0,129677.0,USD,https://example.com/demo/job/30,"Principal Investigator at Cultural Resource Consultants. Key skills include Archaeological Data Recovery Plan, Digitization & Georeferencing, FileMaker Pro, NRHP Evaluation Criteria, Preventive Conservation. This is synthetic demo data.",-0.036
AAA,Senior Archaeology Technician,Western CRM Partners,"Seattle, WA",Seattle,WA,47.6062,-122.3321,2025-11-27,field-tech,senior,Architectural History;Emergency Preparedness (Collections/Sites);Mitigation Reporting & Closeout;PastPerfect CMS;Phase II Evaluation/Testing;Security Planning for Heritage Assets,"[""Architectural History"", ""Emergency Preparedness (Collections/Sites)"", ""Mitigation Reporting & Closeout"", ""PastPerfect CMS"", ""Phase II Evaluation/Testing"", ""Security Planning for Heritage Assets""]",,,,https://example.com/demo/job/31,"Senior Archaeology Technician at Western CRM Partners. Key skills include Architectural History, Emergency Preparedness (Collections/Sites), Mitigation Reporting & Closeout, PastPerfect CMS, Phase II Evaluation/Testing. This is synthetic demo data.",0.433
ACRA,Program Manager,ArchaeoLab Services,"Washington, DC",Washington,DC,38.9072,-77.0369,2026-01-07,pm/pi,entry,CIDOC CRM (Heritage Semantics);File/Enterprise Geodatabase;FileMaker Pro,"[""CIDOC CRM (Heritage Semantics)"", ""File/Enterprise Geodatabase"", ""FileMaker Pro""]",55692.0,63124.0,USD,https://example.com/demo/job/32,"Program Manager at ArchaeoLab Services. Key skills include CIDOC CRM (Heritage Semantics), File/Enterprise Geodatabase, FileMaker Pro. This is synthetic demo data.",0.142
AAA,Senior Project Manager,Preservation Strategy Studio,"Sacramento, CA",Sacramento,CA,38.5816,-121.4944,2025-10-22,pm/pi,lead/PI,Burra Charter Principles;Collections Loan Management;Cultural Landscape Management;Historic District Survey;National Historic Preservation Act;Repository Standards & Agreements;Scientific Diving (AAUS);Section 106;State Environmental Policy Act,"[""Burra Charter Principles"", ""Collections Loan Management"", ""Cultural Landscape Management"", ""Historic District Survey"", ""National Historic Preservation Act"", ""Repository Standards & Agreements"", ""Scientific Diving (AAUS)"", ""Section 106"", ""State Environmental Policy Act""]",91776.0,109526.0,USD,https://example.com/demo/job/33,"Senior Project Manager at Preservation Strategy Studio. Key skills include Burra Charter Principles, Collections Loan Management, Cultural Landscape Management, Historic District Survey, National Historic Preservation Act. This is synthetic demo data.",-0.073
ACRA,Senior Architectural Historian,GeoCultural Analytics,"Sacramento, CA",Sacramento,CA,38.5816,-121.4944,2025-11-18,architectural-historian,lead/PI,Electrical Resistivity;FileMaker Pro;NEPA;Omeka S (Digital Exhibits);Phase III Data Recovery;Python;Section 106,"[""Electrical Resistivity"", ""FileMaker Pro"", ""NEPA"", ""Omeka S (Digital Exhibits)"", ""Phase III Data Recovery"", ""Python"", ""Section 106""]",,,,https://example.com/demo/job/34,"Senior Architectural Historian at GeoCultural Analytics. Key skills include Electrical Resistivity, FileMaker Pro, NEPA, Omeka S (Digital Exhibits), Phase III Data Recovery. This is synthetic demo data.",0.255
AAA,Collections Specialist,Regional Heritage Associates,"Tucson, AZ",Tucson,AZ,32.2226,-110.9747,2026-01-02,lab/analyst,entry,Mortar Analysis & Repointing;National Historic Preservation Act;PastPerfect CMS;Section 106,"[""Mortar Analysis & Repointing"", ""National Historic Preservation Act"", ""PastPerfect CMS"", ""Section 106""]",,,,https://example.com/demo/job/35,"Collections Specialist at Regional Heritage Associates. Key skills include Mortar Analysis & Repointing, National Historic Preservation Act, PastPerfect CMS, Section 106. This is synthetic demo data.",0.337
ACRA,Artifact Analyst,Frontier Cultural Resources,"Las Vegas, NV",Las Vegas,NV,36.1699,-115.1398,2025-10-30,lab/analyst,entry,Collections Conservation Planning;Ground Penetrating Radar;Project Management,"[""Collections Conservation Planning"", ""Ground Penetrating Radar"", ""Project Management""]",48149.0,55398.0,USD,https://example.com/demo/job/36,"Artifact Analyst at Frontier Cultural Resources. Key skills include Collections Conservation Planning, Ground Penetrating Radar, Project Management. This is synthetic demo data.",0.214
AAA,Cultural Resources Planner,Sagebrush Archaeology,"Los Angeles, CA",Los Angeles,CA,34.0522,-118.2437,2026-01-18,architectural-historian,entry,Accessioning & Cataloging;Burra Charter Principles;Crew Chief / Field Director;Obsidian Sourcing/XRF;RTK GNSS Survey;Section 4(f) Evaluation;Viewshed Analysis,"[""Accessioning & Cataloging"", ""Burra Charter Principles"", ""Crew Chief / Field Director"", ""Obsidian Sourcing/XRF"", ""RTK GNSS Survey"", ""Section 4(f) Evaluation"", ""Viewshed Analysis""]",47590.0,51693.0,USD,https://example.com/demo/job/37,"Cultural Resources Planner at Sagebrush Archaeology. Key skills include Accessioning & Cataloging, Burra Charter Principles, Crew Chief / Field Director, Obsidian Sourcing/XRF, RTK GNSS Survey. This is synthetic demo data.",-0.126
ACRA,Senior Zooarchaeology Analyst,Bay Area Preservation,"Boise, ID",Boise,ID,43.615,-116.2023,2026-01-19,lab/analyst,lead/PI,Accessibility & ADA in Historic Settings;Cost Distance / Least-Cost Path;Cultural Landscape Management;Cultural Sensitivity Training;HABS/HAER/HALS Documentation;HIA (Heritage Impact Assessment);Section 106 Regulations (36 CFR 800),"[""Accessibility & ADA in Historic Settings"", ""Cost Distance / Least-Cost Path"", ""Cultural Landscape Management"", ""Cultural Sensitivity Training"", ""HABS/HAER/HALS Documentation"", ""HIA (Heritage Impact Assessment)"", ""Section 106 Regulations (36 CFR 800)""]",107589.0,133150.0,USD,https://example.com/demo/job/38,"Senior Zooarchaeology Analyst at Bay Area Preservation. Key skills include Accessibility & ADA in Historic Settings, Cost Distance / Least-Cost Path, Cultural Landscape Management, Cultural Sensitivity Training, HABS/HAER/HALS Documentation. This is synthetic demo data.",-0.005
AAA,Program Manager,Capitol Heritage Advisors,"Austin, TX",Austin,TX,30.2672,-97.7431,2026-01-02,pm/pi,mid,Dendrochronology;Historic District Guidelines;Historic Tax Credit Applications;Oral History Methods;QGIS;Section 106,"[""Dendrochronology"", ""Historic District Guidelines"", ""Historic Tax Credit Applications"", ""Oral History Methods"", ""QGIS"", ""Section 106""]",66152.0,77733.0,USD,https://example.com/demo/job/39,"Program Manager at Capitol Heritage Advisors. Key skills include Dendrochronology, Historic District Guidelines, Historic Tax Credit Applications, Oral History Methods, QGIS. This is synthetic demo data.",0.189
ACRA,Archaeology Technician,Great Lakes CRM,"Atlanta, GA",Atlanta,GA,33.749,-84.388,2025-11-25,field-tech,mid,Budgeting & Scheduling;Design Review for Historic Properties;Disaster Risk Reduction & Response;Historic Preservation Plan;Mortar Analysis & Repointing;Pedestrian Survey;Python;Section 106 Finding of Effect,"[""Budgeting & Scheduling"", ""Design Review for Historic Properties"", ""Disaster Risk Reduction & Response"", ""Historic Preservation Plan"", ""Mortar Analysis & Repointing"", ""Pedestrian Survey"", ""Python"", ""Section 106 Finding of Effect""]",55565.0,64089.0,USD,https://example.com/demo/job/40,"Archaeology Technician at Great Lakes CRM. Key skills include Budgeting & Scheduling, Design Review for Historic Properties, Disaster Risk Reduction & Response, Historic Preservation Plan, Mortar Analysis & Repointing. This is synthetic demo data.",0.014
